id,mz,rt,ms1_isotopes,S110,S111,S134,S144,S98,S99
290.1579@0.8153,290.1579,0.8153,NA,27.483105,13.282804,20.177486,19.447329,17.650946,6.208257
193.0969@0.8162,193.0969,0.8162,NA,93.37958,86.696495,78.563995,102.615364,138.70428,83.80698
216.1058@0.8162,216.1058,0.8162,NA,79.6105,72.97767,16.180853,41.092724,59.414696,26.376213
272.1508@0.8171,272.1508,0.8171,NA,15.504128,31.467329,29.929686,15.453519,59.201206,57.17779
454.1425@0.8171,454.1425,0.8171,NA,135.89754,89.09228,64.34117,120.815704,100.61954,54.713333
102.0909@0.819,102.0909,0.819,NA,18.901499,78.928665,25.886662,22.006866,77.16818,28.85026
110.0603@0.819,110.0603,0.819,NA,36.600323,33.358036,20.730806,24.033663,20.655485,21.533298
330.1915@0.819,330.1915,0.819,NA,16.115566,57.4235,47.698784,33.718964,8.981731,29.702356
304.0378@0.8199,304.0378,0.8199,NA,153.06963,120.12327,148.40051,147.0897,126.88095,106.74301
333.1663@0.8199,333.1663,0.8199,NA,16.47616,70.84454,24.905033,28.150541,24.266888,19.91852
353.227@0.8199,353.227,0.8199,NA,70.0375,100.6304,93.45044,76.234955,118.39364,67.46946
559.5155@0.8199,559.5155,0.8199,NA,457.08405,460.95154,452.71158,528.1419,453.82092,411.1732
250.1116@0.8208,250.1116,0.8208,NA,40.381794,64.822716,36.636185,48.617695,19.943027,40.27643
587.5466@0.8208,587.5466,0.8208,NA,386.305,500.86624,360.0465,381.81454,376.52356,339.70767
156.1013@0.8218,156.1013,0.8218,NA,62.43608,32.04548,18.185604,62.005344,8.341878,21.472511
441.2947@0.822,441.2947,0.822,NA,3.3624763,0,112.315025,3.607942,0,3.0684953
218.0411@0.8245,218.0411,0.8245,NA,172.56392,299.7906,214.0783,277.07993,107.41236,216.09752
271.1611@0.8245,271.1611,0.8245,NA,25.62115,51.00816,39.76149,15.294549,41.167885,43.418633
42.0335@0.8255,42.0335,0.8255,NA,87.68143,47.37516,21.47423,23.547647,30.260782,28.483742
198.0876@0.8255,198.0876,0.8255,NA,94.15355,80.936676,86.4449,92.28573,83.04513,86.977356
214.0643@0.8255,214.0643,0.8255,NA,24.563951,33.34659,26.769125,30.185669,12.991182,18.795153
242.0961@0.8255,242.0961,0.8255,NA,76.6389,69.47195,79.98767,90.73567,72.384705,76.23112
228.1226@0.8264,228.1226,0.8264,NA,37.92244,62.237206,40.23232,39.889812,54.445946,39.267883
411.2187@0.8264,411.2187,0.8264,NA,261.15613,270.65366,228.79941,293.4422,224.47122,195.17207
111.0913@0.8273,111.0913,0.8273,NA,605.65784,581.2833,662.6316,587.86285,602.4138,599.2212
243.1128@0.8283,243.1128,0.8283,NA,18.73415,23.1576,25.165232,19.365833,23.888271,15.298069
385.2083@0.8283,385.2083,0.8283,NA,129.64594,284.45728,98.22425,285.67007,91.9909,97.424515
181.1323@0.8292,181.1323,0.8292,NA,138.26503,119.39978,127.80128,119.74663,117.07181,125.32144
136.0741@0.8301,136.0741,0.8301,NA,20.036745,36.956055,5.440434,10.154602,26.497143,24.165539
311.1462@0.8301,311.1462,0.8301,NA,82.97757,51.00855,32.43874,53.23985,24.326221,30.534378
197.1635@0.831,197.1635,0.831,NA,41.948673,34.126133,30.24301,33.437637,31.309399,30.126741
172.9559@0.832,172.9559,0.832,NA,221.82199,55.974407,54.682564,127.66465,114.312874,96.95636
298.067@0.832,298.067,0.832,NA,125.20039,94.10307,114.80078,141.4438,126.42253,148.36214
407.1983@0.8338,407.1983,0.8338,NA,7.4937034,9.830397,7.199617,23.45831,17.928818,5.7452
142.043@0.8347,142.043,0.8347,NA,62.039646,51.52721,56.276283,63.326694,75.61548,49.970535
369.1857@0.8347,369.1857,0.8347,NA,51.744175,51.611866,56.96872,52.471306,70.585434,59.211517
156.0476@0.8357,156.0476,0.8357,NA,127.90878,73.66787,140.63896,59.56999,60.53984,75.3767
230.1393@0.8357,230.1393,0.8357,NA,449.7542,423.08505,538.78955,1021.0174,387.86746,414.94202
209.1021@0.8384,209.1021,0.8384,NA,72.691864,35.16615,78.774086,40.62274,69.97601,26.972404
179.1185@0.8394,179.1185,0.8394,NA,65.38669,63.94424,66.373695,128.00377,129.62375,69.728645
302.1157@0.8394,302.1157,0.8394,NA,25.27665,15.339975,10.037979,13.68693,9.405028,8.605794
74.0598@0.8403,74.0598,0.8403,NA,18.694519,6.2226696,17.681576,18.80339,36.764797,11.395145
230.0298@0.8422,230.0298,0.8422,NA,76.478935,67.523735,50.26029,52.445915,78.59851,74.607056
327.1904@0.8431,327.1904,0.8431,NA,529.7228,491.97498,533.403,377.9967,635.5674,494.88187
166.0963@0.844,166.0963,0.844,NA,500.52298,378.5692,389.5006,407.03806,359.4592,393.17285
219.1128@0.844,219.1128,0.844,NA,61.596092,69.04469,51.380722,61.43113,55.145233,59.795937
233.0494@0.844,233.0494,0.844,NA,32.0314,53.171974,44.839756,31.55009,49.280228,46.174603
377.2399@0.844,377.2399,0.844,NA,94.4641,90.58312,68.88544,132.60025,51.54621,122.5674
264.159@0.8486,264.159,0.8486,NA,1780.0691,1615.249,1343.1809,1652.4801,1543.5361,1450.5465
299.1467@0.8486,299.1467,0.8486,NA,233.65265,257.6755,193.63982,34.534195,221.54663,32.717026
265.1057@0.8496,265.1057,0.8496,NA,43.591206,45.28703,57.06589,54.889896,56.193447,29.859547
183.1485@0.8505,183.1485,0.8505,NA,225.1221,205.63173,237.49341,195.02138,250.44672,192.60565
329.2402@0.8505,329.2402,0.8505,NA,111.274704,76.116714,74.90243,77.92793,89.92646,164.3077
186.0693@0.8514,186.0693,0.8514,NA,1895.5634,1983.8354,1350.8324,2046.1266,1976.6144,1213.816
214.1431@0.8514,214.1431,0.8514,NA,220.9972,210.04973,255.10951,248.49777,184.07056,226.01364
182.1163@0.8533,182.1163,0.8533,NA,13.428792,8.766521,19.210606,26.517307,28.64596,16.40458
351.2167@0.8533,351.2167,0.8533,NA,157.72775,333.41666,155.0151,111.054184,206.51234,26.511808
448.2413@0.8533,448.2413,0.8533,NA,26.243814,38.90131,42.684097,20.687164,20.933529,38.596344
215.1189@0.8542,215.1189,0.8542,NA,106.07701,69.6845,98.09307,93.909904,101.63028,64.12962
189.1015@0.8551,189.1015,0.8551,NA,10.441411,8.3701515,23.897705,16.431517,68.33334,18.55689
188.0702@0.8551,188.0702,0.8551,NA,78.246284,249.99532,232.21497,131.70613,26.037804,37.36221
224.1271@0.8551,224.1271,0.8551,NA,35.808186,93.56136,82.51503,83.81532,72.27355,36.36717
201.1025@0.8551,201.1025,0.8551,NA,165.76576,76.56909,131.76714,185.28046,188.55351,47.67264
281.1413@0.8561,281.1413,0.8561,NA,29.915064,7.821821,12.217454,27.16322,33.630566,8.092992
401.183@0.8579,401.183,0.8579,NA,61.162357,33.828064,45.763245,19.912453,34.470222,13.953709
193.1347@0.8588,193.1347,0.8588,NA,61.251785,19.909412,23.046421,24.71638,48.531174,66.53795
166.0955@0.8598,166.0955,0.8598,NA,411.9656,541.4854,530.90955,976.9853,359.4592,580.8019
211.1437@0.8607,211.1437,0.8607,NA,5231.8335,5888.492,5218.344,4998.1567,5453.5845,5012.099
560.5187@0.8616,560.5187,0.8616,NA,200.86646,199.06256,223.63782,178.37312,208.01297,165.91455
198.1846@0.8635,198.1846,0.8635,NA,42.264046,17.359697,9.514127,16.804884,26.009247,72.216324
216.1589@0.8635,216.1589,0.8635,NA,915.91766,812.3653,818.43195,820.68854,1042.8472,913.5191
383.1979@0.8635,383.1979,0.8635,NA,37.82176,37.408146,63.602417,85.369194,31.887342,46.66458
202.0898@0.8644,202.0898,0.8644,NA,89.01657,27.105919,85.53101,204.372,66.351074,90.36268
437.1937@0.8644,437.1937,0.8644,NA,278.39038,293.5032,295.76413,318.2698,274.30832,309.77924
321.1303@0.8653,321.1303,0.8653,NA,30.839523,34.191925,41.085346,46.284096,63.843,21.264029
321.132@0.8663,321.132,0.8663,NA,67.95977,34.191925,48.27992,58.257347,31.715147,69.71821
209.1285@0.8672,209.1285,0.8672,NA,385.08386,404.0296,69.64272,434.69788,316.6938,375.62094
311.1439@0.8672,311.1439,0.8672,NA,36.9909,50.17228,96.0329,40.409542,83.489426,13.733811
364.228@0.8672,364.228,0.8672,NA,70.8581,22.075539,22.498497,50.26438,83.15722,40.440464
199.0913@0.8681,199.0913,0.8681,NA,37.15172,83.10882,71.27767,40.493668,29.780756,40.209217
291.1964@0.869,291.1964,0.869,NA,87.234085,62.491512,106.86057,64.43387,82.19361,64.36723
292.1031@0.869,292.1031,0.869,NA,247.01933,256.15652,175.72298,152.19829,210.06746,153.12982
588.5498@0.87,588.5498,0.87,NA,216.49567,132.46259,167.57458,139.61601,200.3327,365.6037
