id,mz,rt,ms1_isotopes,S110,S111,S144,S134,S98,S99
M527T434,527.326475714229,434.0605,NA,2525.19914870818,3563.69098947319,2556.98128640752,3350.39945707889,3402.72543647458,1541.29656731668
M528T138,528.205341712631,138.15399999998,NA,6823.28045118081,6794.62488743266,4109.61424170518,7454.56698904303,7374.69698832391,5683.14731604838
M528T166,528.211895892606,166.49,NA,5119.67212750462,6881.11306181364,7666.63375879204,5916.28679916273,8809.800800633,5794.24638511171
M528T314,528.229533888973,314.194,NA,8165.92337213736,10792.0303156829,6372.22396054131,6258.68269200242,11571.4025162089,5721.14915408542
M528T388,528.264967681062,388.34800000002,NA,97390.5334994129,123522.99016682,119317.986986173,132840.74557675,137917.991043595,127226.739414587
M528T354,528.270222377506,353.83750000001,NA,46017.2036989115,44534.6681924845,42137.9829195346,44995.1130317817,44713.2079670188,44814.4575240208
M528T436,528.287550026009,435.76199999998,NA,10004.705462271,12216.4917777666,11222.7916139099,12094.9085133321,17766.0980956846,10836.6188312546
M528T317,528.301185449201,316.62,M529T317,10590.4772752475,26121.3995571701,13296.7144329449,13411.5503627286,16369.0390212778,11144.4195711625
M529T435,529.224817347962,435.24750000001,NA,20322.2028387762,19162.4722432836,19624.7663025285,21159.0893099014,18053.1158841162,17465.3321202094
M529T239,529.238841417078,239.10200000002,NA,10515.877732622,11891.373604265,11623.6092659552,10964.9099416446,12311.3953149243,11314.2734946049
M529T351,529.290798370352,351.3405,NA,16476.1599980534,17025.6128115639,20140.0571534049,15703.7518237597,12346.1115110546,13990.9517061767
M529T285,529.295789313571,284.76550000001,NA,4934.13115980213,4661.62903332685,4740.12729129246,4839.71272008479,4900.31674893516,5269.24668867035
M529T418,529.297941408524,417.73399999998003,NA,18705.6138545776,22817.3640710361,19284.0682876834,20067.3069988647,29367.6805191642,13933.4254001725
M530T213,530.21940673344,213.04549999998,M531T213,19073.7720669889,19360.3206041654,18999.7888060838,842.100522454926,744.904728467436,540.626533440976
M530T385,530.327182717765,385.19000000001,NA,3627.01520432937,4354.64976111605,7911.02054297924,3397.45976497786,3539.89029945572,7319.7897759597
M531T107,531.154529656118,107.4355,NA,2365.3998703421,2385.60007777909,2114.31459486354,2378.99081098362,2285.36271017352,2692.54219181308
M531T385,531.240941653675,385.18700000001,NA,46850.3387280267,44310.5688572431,50758.7463797879,45222.6670958154,40341.4785242819,44449.1542301295
M531T353,531.275409186475,353.0095,NA,17257.8783504511,14086.7581611261,26129.8290516726,25973.3178555336,26445.3907466156,25037.9469840061
